Cuisine,Ingredients,Image,Url
【吉刻美食】港式豉汁蒸排骨,{豬小排:300公克}{乾豆豉:1大匙}{蒜、切末:3粒}{辣椒、去籽、切末:1～2根}{黑豆醬油:1小匙}{玫瑰鹽:1/4小匙}{梅泥:1小匙}{米酒:1大匙}{糖:1小匙}{玉米粉或太白粉:2小匙}{蔥切蔥花:1根},https://tokyo-kitchen.icook.network/uploads/recipe/cover/27992/large_870ac7752585b223.jpg,https://icook.tw/recipes/27992
ღ小吟愛做菜ღ 港式香菇南瓜糕,{南瓜去皮去子:2斤}{香菇:5-8朵}{蝦仁:少許}{豬肉:10兩}{在來米粉:1包600g}{冷水:3.5杯(量米杯)(600g)}{沸水:8.5杯(量米杯)(約1500g)}{沙拉油:少許}{胡椒粉:適量}{鹽巴:少許}{康寶鮮味炒手鰹魚粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/25676/large_d2fda5139185b842.jpg,https://icook.tw/recipes/25676
港式點心--雙皮燉奶,{全脂鮮奶:450cc}{蛋白:2個}{細白砂糖:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/24688/large_263ce5809d54a07e.jpg,https://icook.tw/recipes/24688
港式點心--薑汁撞奶,{全脂鮮奶(以一碗計量):160cc}{現做的老薑汁:13cc}{糖(黑白糖都行):適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/24474/large_82d5694fbd7ddfb6.jpg,https://icook.tw/recipes/24474
〈電鍋〉卡士達醬鬆糕,{鬆餅粉:120克 }{蛋白:二顆}{鮮奶:40克}{卡士達醬: 適量}{鮮奶油:少許}{糖:少許}{藍莓:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/24315/large_7bba53af5d2cd172.jpg,https://icook.tw/recipes/24315
芒果椰汁西米露《港式甜品》,{椰奶:1 罐約 400 ml }{三花淡奶 Carnation evaporated milk: 1 小罐約 170 ml}{鮮奶: 170 ml}{芒果買時連皮連核計算約: 1.6kg = 1600g 每人約 400g}{西米: 200g}{白糖: 80g}{裝飾用的生果或香葉隨意。我選了 Physalis 酸漿屬:隨意}{甜品碗:4 隻},https://tokyo-kitchen.icook.network/uploads/recipe/cover/22487/large_dd72b9f14e1a4a4c.jpg,https://icook.tw/recipes/22487
港式蛋挞 Homemade Hong Kong Egg Tart ,{(A)普通面粉 plain flour: 225 gm}{(A)牛油 butter:125 gm}{(A)糖粉 icing sugar:55 gm}{(A)鸡蛋，打撒 egg, whisked:1}{(A)香草精  vanilla extract:少许}{(B) 鸡蛋 eggs:3}{(B)细糖 caster sugar:110 gm }{(B)热水 hot water:225 gm}{(B)淡炼奶 evaporated milk:85 gm}{(B)香草精 vanilla extract:1/2 tsp},https://tokyo-kitchen.icook.network/uploads/recipe/cover/22229/large_c8dd2648f626f5a6.jpg,https://icook.tw/recipes/22229
【OL醉愛廚房】自家港式叉燒,{梅頭豬扒（可用冰鮮的，肉質比較鬆化）:800g}{醃料：:0}{蒜蓉:１茶匙}{薑蓉:１茶匙}{甜醬:１湯匙}{磨鼓醬:１湯匙}{南乳:１件}{老抽:１茶匙 }{玫瑰露: １茶匙}{麥芽糖（放入焗爐前塗上）:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/22213/large_7357b980d332c9d6.jpg,https://icook.tw/recipes/22213
【小貼士】不會失敗的完美港式煎魚,{魚:一條},https://tokyo-kitchen.icook.network/uploads/recipe/cover/22176/large_81953060490ff213.jpg,https://icook.tw/recipes/22176
【OL醉愛廚房】港式鮮蝦雲吞,{豬肉碎:150克}{中蝦肉:175克 }{雲吞皮:適量}{雞湯:  3杯}{韭黃（或蔥粒）:酌量}{豬肉醃料：:０}{生抽:1茶匙}{糖: 1/2茶匙}{粟粉（玉米粉）: 1茶匙}{胡椒粉: 少許}{蝦肉醃料：:０}{蛋白:  1湯匙 }{鹽:少許}{胡椒粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/21957/large_139375471ae121e6.jpg,https://icook.tw/recipes/21957
清熱解毒－港式陳皮甘草綠豆湯 ,{綠豆:一杯}{陳皮:兩片}{甘草:兩片}{冰糖:半杯}{水:十杯},https://tokyo-kitchen.icook.network/uploads/recipe/cover/20813/large_9ba1913be843c367.jpg,https://icook.tw/recipes/20813
【東煮】港式飲茶-豉汁蒸排骨 Steamed Spare Ribs with Black Bean Sauce,{帶肉小排骨或軟骨小排骨:半斤}{豆豉:2大匙}{剁碎蒜泥:2-3瓣}{薑泥:少許}{白胡椒粉:少許}{切段辣椒不吃辣不加:1-2條}{雞粉:1小匙}{生抽:2大匙}{砂糖:1小匙}{紹興酒米酒或花雕酒也可:2大匙}{麻油:1小匙}{太白粉:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/19515/large_a30bb04a4fe4d4d8.jpg,https://icook.tw/recipes/19515
♥開動 with Kat♥港式咖哩餃簡易版,{冷凍酥皮:一張, 275 g}{絞肉:150 g}{洋蔥:半顆}{馬鈴薯:1-2顆}{咖哩粉:適量}{醬油:適量}{糖:適量}{鹽:適量}{胡椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/19072/large_78f5c08d205f09c4.jpg,https://icook.tw/recipes/19072
港式翡翠煎餅,{韭菜:4條}{港式臘腸:2條}{地瓜粉:5公克}{低筋麵粉:80公克}{太白粉:20公克}{鹽巴:少許}{香油:2滴}{白胡椒粉:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/17759/large_aa2c5d7771c8b9b3.jpg,https://icook.tw/recipes/17759
十分鐘上菜～微波爐搞定鮮蝦腸粉,{在來米粉:50g}{太白粉:20g}{水:120g}{油:一小匙}{蝦子:十隻},https://tokyo-kitchen.icook.network/uploads/recipe/cover/16720/large_3d00bec18659360d.jpg,https://icook.tw/recipes/16720
用電鍋輕鬆做港式蘿蔔糕,{在來米粉一包:600g}{白菜頭二根:約3斤}{紅蔥頭:適量}{香菇:3-5朵}{蝦米:適量}{干貝絲:少許}{肉末:少許}{碎紅蘿蔔:可有可無,增色用}{水:10杯/1200CC},https://tokyo-kitchen.icook.network/uploads/recipe/cover/16671/large_79e60b3a207ff7df.jpg,https://icook.tw/recipes/16671
力力隨意煮-豆豉(豉汁)排骨,{豬小排:一盒}{蒜頭:數瓣}{薑:兩片}{豆豉:一小匙}{紅辣椒:數片}{太白粉:一大匙}{醬油:一小匙}{糖:一小匙}{米酒:一小匙}{香油:一小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/14835/large_7cc70f5ac014f6fc.jpg,https://icook.tw/recipes/14835
